threshold,Accuracy,Precision,Recall,F1-score,TN,FP,FN,TP
0.3,0.9976,0.9984,0.9967,0.9976,7341,12,24,7329
0.35,0.9974,0.9984,0.9965,0.9974,7341,12,26,7327
0.4,0.9974,0.9984,0.9965,0.9974,7341,12,26,7327
0.45,0.9973,0.9985,0.9962,0.9973,7342,11,28,7325
0.5,0.9973,0.9988,0.9959,0.9973,7344,9,30,7323
0.55,0.9973,0.9989,0.9956,0.9973,7345,8,32,7321
0.6,0.9973,0.9995,0.9952,0.9973,7349,4,35,7318
0.65,0.9973,0.9995,0.9952,0.9973,7349,4,35,7318
0.7,0.9975,0.9997,0.9952,0.9975,7351,2,35,7318
0.75,0.9975,0.9997,0.9952,0.9975,7351,2,35,7318
0.8,0.9975,0.9997,0.9952,0.9975,7351,2,35,7318
